,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
day1: ,1032,875,625,252,27,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day2: ,1115,871,572,259,37,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
day3: ,1097,906,653,295,53,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
day4: ,1120,890,626,282,56,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
day5: ,1064,896,610,288,33,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day6: ,1067,931,609,267,38,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
day7: ,1060,903,624,289,53,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
day8: ,1108,896,631,260,31,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day9: ,1085,868,607,273,36,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day10: ,1073,934,601,277,43,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,
day11: ,1100,935,630,260,42,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
day12: ,1028,881,614,192,22,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day13: ,1069,871,579,244,26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day14: ,1082,842,581,271,40,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day15: ,1013,892,593,263,44,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
day16: ,1102,884,559,254,33,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
day17: ,1127,907,599,262,30,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
day18: ,1136,914,603,264,29,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
day19: ,1102,890,614,267,35,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
day20: ,1079,876,612,298,62,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
day21: ,1072,881,647,294,31,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day22: ,1067,873,609,262,29,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day23: ,1043,877,579,264,41,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day24: ,1113,961,634,226,23,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day25: ,1048,885,579,247,30,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day26: ,1078,877,602,254,36,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day27: ,1092,956,573,256,29,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day28: ,1069,911,617,257,39,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
day29: ,1061,878,581,262,27,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
day30: ,1041,856,601,234,26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
